,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
40,9138046.967757817,613.7541845421003,223.98584271747214,75.21074876317434,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10192641.843682088,15977.194307872387,35059.7891770441,135521.07925127773,1116151.6928273528,2329500.0935027325,1116151.6928273528,2583092.194837537,17330614.082897626,19757708.29880824,15806546.878063168,20111613.89857182,15674180.401122855
41,9366498.141951764,614.9388690648042,224.65605137162746,75.15523735761948,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10227544.758063108,16002.817208169323,35106.69038772982,136085.58921045315,1119488.4515884018,2336097.447275668,1119488.4515884018,2590483.676151558,17944440.3087676,20483760.158421043,16349448.309531786,20854069.93196641,16210864.878493566
42,9594949.316145709,616.1235535875081,225.32626002578277,75.09972595206463,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10262491.684828505,16028.381525066265,35153.514185536376,136651.51975892624,1122827.298377391,2342705.9315449116,1122827.298377391,2597886.106756257,18565777.766657963,21219386.548079044,16898527.981173575,21606402.67035211,16753607.784145523
43,9823400.490339654,617.308238110212,225.99646867993806,75.04421454650979,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10297483.612080792,16053.926489739159,35200.26050372059,137218.8872161327,1126168.255536569,2349328.641170452,1126168.255536569,2605302.286492314,19194544.046265736,21964481.9799162,17453718.333383247,22368502.212343436,17302343.25139694
44,10051851.6645336,618.4929226329159,226.66667733409338,74.98870314095494,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10332498.715409253,16079.421640463384,35246.929275539325,137787.40373716608,1129510.6017765272,2355960.9380525895,1129510.6017765272,2612727.720439926,19830679.097156696,22718966.73450953,18014971.27442414,23140286.79449154,17857023.89435091
45,10280302.838727545,619.6776071556199,227.33688598824867,74.93319173540009,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10367536.803455452,16104.86696501142,35293.52043424942,138357.06932202648,1132854.320308824,2362602.8403692357,1132854.320308824,2620162.4171724827,20474105.7120123,23482738.604381762,18582224.845311075,23921650.369714096,18417589.10172432
46,10508754.012921492,620.8622916783237,228.00709464240398,74.938961069955,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10411118.588830393,16143.463640306054,35368.92096941141,138927.98138890244,1137130.1856000568,2370249.159980416,1137130.1856000568,2628905.882566108,21116059.074509494,24242829.89629124,19148980.401397675,24699308.17436196,18977596.318112873
47,10737205.187115436,622.0469762010276,228.67730329655927,75.88453702401362,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10585898.953480395,16384.994683043387,35888.82465057815,139500.07957656105,1155727.933007609,2393223.8502157223,1155727.933007609,2657673.315585534,21627879.25616224,24809235.84585327,19619745.014644284,25278614.63933561,19442377.242506042
48,10965656.361309381,623.2316607237315,229.3475119507146,76.83011297807225,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10761849.581824638,16627.47423592653,36410.593593481884,140073.32756228186,1174439.3365749991,2416347.683401087,1174439.3365749991,2686641.7480513705,22138979.173533414,25374091.096317835,20090244.270736553,25856371.487106737,19906854.038047858
49,11194107.535503328,624.4163452464354,230.01772060486988,77.77568893213088,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10938974.893499887,16870.904231877957,36934.2289255005,140647.74023468344,1193264.7311146734,2439619.9246487347,1193264.7311146734,2715810.3938355623,22649298.239969835,25937349.108028226,20560415.822710503,26432528.647172388,20370966.84742771
50,11422558.709697273,625.6010297691392,230.6879292590252,78.7212648861895,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,11117320.256566957,17115.325773866396,37459.73177401183,141223.8519368269,1212206.1695821339,2463047.0592106762,1212206.1695821339,2745185.7156592063,23158736.535411168,26498908.219479177,21030166.843013056,27006977.09654444,20834626.609822277
51,11651009.883891217,628.3233635169997,231.29555160265565,79.66684084024811,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,11321155.125250593,17358.405417616003,38075.07680452637,142106.23900541422,1233936.9478530234,2488950.86422424,1233936.9478530234,2778034.7002511374,23641485.220790736,27020449.64124986,21480480.520683408,27540523.85086067,21278941.204384677
52,11879461.058085164,633.2959014253988,231.8115848022657,80.61241679430675,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,11562921.513791004,17599.02750722448,38824.81733336812,143438.46734300657,1259823.2556543911,2518390.6088699037,1259823.2556543911,2815927.1820009397,24084127.055536352,27482436.658928994,21901367.667445548,28013185.3612632,21693987.799149066
53,12107912.232279109,638.2684393337978,232.32761800187578,81.55799274836536,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,11807526.148120645,17840.36305011196,39581.710285591704,144774.6045510334,1286001.79646393,2547932.3776160507,1286001.79646393,2854077.788255365,24523852.437324345,27940306.423432175,22320162.7404565,28481663.744794667,22106923.204117596
54,12336363.406473054,643.2409772421968,232.8436512014858,82.50356870242399,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,12054993.311791806,18082.464541978516,40345.75922524077,146114.81056379594,1312475.2295414458,2577581.1968902103,1312475.2295414458,2892493.051801826,24960664.238536075,28394107.888986528,22736847.750924557,28946006.820194915,22517731.590707302
55,12564814.580667,648.2135151505958,233.35968440109588,83.44914465648262,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,12305321.32108919,18325.28074991862,41116.94285435799,147458.92689186803,1339242.9403120796,2607331.5931585203,1339242.9403120796,2931168.655990012,25394594.5861653,28843916.732307337,23151432.96133802,29406290.40112418,22926424.48452533
56,12793265.754860945,653.1860530589948,233.87571760070594,84.64412123864075,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,12595645.91513749,18623.73323769738,42019.149974520304,148807.09647426137,1370345.1192700227,2641466.4092506426,1370345.1192700227,2975767.21823241,25787251.913030207,29235369.152504683,23534648.058155745,29806749.378843974,23304042.60425005
